d_level2_id;d_f_level2_id;Level2Name;Level2NameShort;Level2Description;Level2Entitytype;Level2Color;Level2Color2;Level2Color3;Level2Color4;Level2Color5;Level2Extra1;Level2Extra2;Level2Extra3
1;1;Ibriz;IBR;Ibriz;PREP;#00ced1;#00ced2;#00ced3;#00ced4;#00ced5;;;
2;2;Blockmove;BM;Blockmove;PREP;#00ced1;#00ced2;#00ced3;#00ced4;#00ced5;;;
3;3;ICON Foundation;ICONF;ICON Foundation;PREP;#00ced1;#00ced2;#00ced3;#00ced4;#00ced5;;;
4;4;ReliantNode;RN;ReliantNode;PREP;#00ced1;#00ced2;#00ced3;#00ced4;#00ced5;;;
5;5;Sharpn;SHN;Sharpn;PREP;#00ced1;#00ced2;#00ced3;#00ced4;#00ced5;;;
